Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-08-03 12:21:53,38.4,1.793,0.992,1.001
2024-08-03 12:21:58,38.3,1.793,1.009,1.018
2024-08-03 12:22:02,38.8,1.794,1.003,1.002
2024-08-03 12:22:07,38.3,1.794,1.048,1.028
2024-08-03 12:22:11,39.4,1.792,1.053,1.032
2024-08-03 12:22:15,38.5,1.797,1.045,1.033
2024-08-03 12:22:20,39.0,1.795,1.040,1.013
2024-08-03 12:22:24,39.4,1.794,1.040,1.019
2024-08-03 12:22:29,38.6,1.796,1.035,1.028
2024-08-03 12:22:33,39.1,1.793,1.001,1.011
2024-08-03 12:22:38,38.9,1.794,1.003,1.003
2024-08-03 12:22:42,38.4,1.794,1.005,1.020
2024-08-03 12:22:46,39.3,1.794,1.034,0.998
2024-08-03 12:22:51,38.6,1.794,1.017,1.027
2024-08-03 12:22:55,38.9,1.794,1.036,1.050
2024-08-03 12:23:00,38.8,1.794,1.039,0.991
2024-08-03 12:23:04,38.8,1.794,1.015,1.022
2024-08-03 12:23:09,38.6,1.794,0.995,1.010
2024-08-03 12:23:13,38.6,1.794,1.022,1.030
2024-08-03 12:23:17,38.8,1.794,1.031,0.994
2024-08-03 12:23:22,38.5,1.795,1.014,1.028
2024-08-03 12:23:26,39.1,1.794,1.016,1.025
2024-08-03 12:23:31,38.6,1.794,1.031,1.004
2024-08-03 12:23:35,39.0,1.794,1.047,1.044
2024-08-03 12:23:39,38.9,1.794,1.040,1.045
2024-08-03 12:23:44,38.5,1.794,1.016,1.031
2024-08-03 12:23:48,38.9,1.794,1.048,1.046
2024-08-03 12:23:53,39.1,1.792,1.003,1.012
2024-08-03 12:23:57,38.9,1.793,1.046,1.034
2024-08-03 12:24:02,38.5,1.792,1.022,1.043
2024-08-03 12:24:06,38.6,1.794,0.993,1.001
2024-08-03 12:24:10,38.8,1.793,1.023,1.042
2024-08-03 12:24:15,39.0,1.792,1.020,1.041
2024-08-03 12:24:19,39.1,1.794,1.020,1.039
2024-08-03 12:24:24,39.0,1.792,1.000,1.013
2024-08-03 12:24:28,38.4,1.794,1.050,1.042
2024-08-03 12:24:32,39.3,1.794,1.025,1.036
2024-08-03 12:24:37,38.4,1.794,1.044,1.011
2024-08-03 12:24:41,38.6,1.794,1.014,1.022
2024-08-03 12:24:46,38.5,1.795,1.025,1.036
2024-08-03 12:24:50,38.6,1.795,1.033,0.995
2024-08-03 12:24:55,38.6,1.796,1.044,1.040
2024-08-03 12:24:59,38.5,1.794,0.994,1.007
2024-08-03 12:25:03,38.4,1.795,1.030,1.043
2024-08-03 12:25:08,38.9,1.794,1.040,1.036
2024-08-03 12:25:12,38.8,1.795,1.022,1.031
