Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_14:46:10,2702.5669889450073,30.0,130.0,199.0,0.0,179.0
2024-07-07_14:46:19,2711.951000928879,30.0,130.0,230.0,0.0,211.0
2024-07-07_14:46:28,2721.4315071105957,30.0,130.0,6.0,0.0,243.0
2024-07-07_14:46:38,2730.8909442424774,30.0,130.0,38.0,0.0,19.0
2024-07-07_14:46:47,2740.34649682045,30.0,130.0,70.0,0.0,51.0
2024-07-07_14:46:57,2749.824035167694,30.0,130.0,107.0,0.0,84.0
2024-07-07_14:47:06,2759.232861995697,30.0,130.0,139.0,0.0,116.0
2024-07-07_14:47:16,2768.68403840065,30.0,130.0,171.0,0.0,149.0
2024-07-07_14:47:25,2778.1275572776794,30.0,130.0,203.0,0.0,181.0
2024-07-07_14:47:34,2787.5431036949158,30.0,130.0,11.0,0.0,214.0
2024-07-07_14:47:44,2797.0340559482574,30.0,130.0,43.0,0.0,246.0
2024-07-07_14:47:53,2806.46422290802,30.0,130.0,75.0,0.0,22.0
2024-07-07_14:48:03,2815.837991952896,30.0,130.0,107.0,0.0,52.0
2024-07-07_14:48:12,2825.301884651184,30.0,130.0,139.0,0.0,81.0
2024-07-07_14:48:22,2834.7535796165466,30.0,130.0,171.0,0.0,114.0
2024-07-07_14:48:31,2844.227642059326,30.0,130.0,203.0,0.0,146.0
2024-07-07_14:48:41,2853.6519598960876,30.0,130.0,235.0,0.0,179.0
2024-07-07_14:48:50,2863.094579935074,30.0,130.0,11.0,0.0,211.0
2024-07-07_14:48:59,2872.5451147556305,30.0,130.0,43.0,0.0,243.0
2024-07-07_14:49:09,2881.912611246109,30.0,130.0,75.0,0.0,21.0
2024-07-07_14:49:18,2891.369546890259,30.0,130.0,106.0,0.0,53.0
2024-07-07_14:49:28,2900.9353172779083,30.0,130.0,138.0,0.0,86.0
2024-07-07_14:49:37,2910.3909208774567,30.0,130.0,170.0,0.0,118.0
2024-07-07_14:49:47,2919.6846561431885,30.0,130.0,202.0,0.0,149.0
2024-07-07_14:49:56,2929.1594972610474,30.0,130.0,232.0,0.0,181.0
2024-07-07_14:50:05,2938.5104961395264,30.0,130.0,8.0,0.0,213.0
2024-07-07_14:50:15,2947.953444004059,30.0,130.0,40.0,0.0,245.0
2024-07-07_14:50:24,2957.4526455402374,30.0,130.0,71.0,0.0,21.0
2024-07-07_14:50:34,2966.8612093925476,30.0,130.0,102.0,0.0,53.0
2024-07-07_14:50:43,2976.44304227829,30.0,130.0,134.0,0.0,86.0
2024-07-07_14:50:53,2985.7218544483185,30.0,130.0,166.0,0.0,86.0
2024-07-07_14:51:02,2995.085640192032,30.0,130.0,198.0,0.0,118.0
2024-07-07_14:51:12,3004.566951274872,30.0,130.0,230.0,0.0,150.0
2024-07-07_14:51:21,3014.0659432411194,30.0,130.0,5.0,0.0,183.0
2024-07-07_14:51:30,3023.4677419662476,30.0,130.0,34.0,0.0,215.0
2024-07-07_14:51:40,3032.875636100769,30.0,130.0,66.0,0.0,247.0
2024-07-07_14:51:49,3042.3372745513916,30.0,130.0,98.0,0.0,23.0
2024-07-07_14:51:59,3051.7107322216034,30.0,130.0,130.0,0.0,52.0
2024-07-07_14:52:08,3061.1953675746918,30.0,130.0,162.0,0.0,85.0
2024-07-07_14:52:18,3070.730764389038,30.0,130.0,194.0,0.0,117.0
2024-07-07_14:52:27,3080.179592370987,30.0,130.0,226.0,0.0,154.0
2024-07-07_14:01:07,3082.0164256095886,None,None,None,None,End of Test
